Site,Median,Median_Percentile,Median_p-value,Mean,Mean_Percentile,Mean_p-value
1,-1.313234687985349e-15,1,0,0.01675932213485494,1,0
2,0.04266412386021127,0.963,0.03700000000000003,0.05394886508425954,0.798,0.20199999999999996
3,0.04748468608447483,0.728,0.272,0.0746069831754147,0.986,0.014000000000000012
4,0.16336774317658165,0.44,0.56,0.15729149957853442,0.114,0.886
5,-0.019335236267389443,0,1,-0.03221488826593726,0,1
6,-0.02744719944448063,0,1,-0.03234912045841305,0,1
7,-0.055716606718557216,0,1,-0.051834846070697,0,1
8,-0.08737824335874787,0,1,-0.06000666219762146,0,1
9,0.03338750241014105,0.919,0.08099999999999996,0.024231525842207,0.493,0.507
10,-0.07168172351415458,0,1,-0.042084639769666865,0,1
11,0.045930921505666016,1,0,0.03160528970258645,1,0
12,-0.10267894648967481,0,1,-0.07800018393144767,0,1
