Site,Median,Median_Percentile,Median_p-value,Mean,Mean_Percentile,Mean_p-value
1,1.463210110125197e-15,0.507,0.493,0.03364815822594077,0.927,0.07299999999999995
2,0.07478683146572829,1,0,0.09108066055801088,1,0
3,0.06842372900260404,1,0,0.09667841313693169,1,0
4,0.19952748253942587,0.999,0.0010000000000000009,0.19199495699499536,1,0
5,-0.02498456991459392,0.094,0.906,-0.04649648259696567,0.01,0.99
6,-0.01628888681724109,0.164,0.836,-0.02922181630716652,0.061,0.9390000000000001
7,-0.05318555399637891,0,1,-0.053911575191141266,0.001,0.999
8,-0.08737824335874787,0,1,-0.07823203093867447,0,1
9,0.03720088964726123,0.977,0.02300000000000002,0.03293791667433792,0.996,0.0040000000000000036
10,-0.07148069188181405,0,1,-0.03504269972848178,0.036,0.964
11,0.05409920193502555,0.999,0.0010000000000000009,0.04290037874762392,1,0
12,-0.10312849881286258,0,1,-0.09645314239061947,0,1
