Site,Median,Mean,p-value
1,1.463210110125197e-15,0.03364815822594077,0.31805164316139983
2,0.07478683146572829,0.09108066055801088,1.1557425508525568e-4
3,0.06842372900260404,0.09667841313693169,1.9131402613253194e-7
4,0.19952748253942587,0.19199495699499536,3.741603637054082e-15
5,-0.02498456991459392,-0.04649648259696567,0.015668021240668364
6,-0.01628888681724109,-0.02922181630716652,0.1596750848384664
7,-0.05318555399637891,-0.053911575191141266,1.7839937390640285e-5
8,-0.08737824335874787,-0.07823203093867447,9.06708061939692e-5
9,0.03720088964726123,0.03293791667433792,0.0010893065093814781
10,-0.07148069188181405,-0.03504269972848178,1.8558707361462196e-7
11,0.05409920193502555,0.04290037874762392,5.0189546634098626e-5
12,-0.10312849881286258,-0.09645314239061947,5.117907161900541e-4
