Site,Median,Median_Percentile,Median_p-value,Mean,Mean_Percentile,Mean_p-value
1,-0.03747742324524111,0.883,0.11699999999999999,-0.013151910479790838,0.974,0.026000000000000023
2,0.06262951694068264,0.996,0.0040000000000000036,0.07302143918558504,0.962,0.038000000000000034
3,0.0557958132098791,0.832,0.16800000000000004,0.09830023718017204,1,0
4,0.1564890548576073,0.375,0.625,0.16462500237162708,0.247,0.753
5,-0.024230706197924664,0,1,-0.025413920023470354,0,1
6,-0.01862339963896081,0,1,-0.01936017312183171,0,1
7,-0.06412062302973727,0,1,-0.042423223728504995,0,1
8,-0.11153653772466987,0,1,-0.08369794470636925,0,1
9,0.03543065236808681,0.925,0.07499999999999996,0.01940027343141941,0.386,0.614
10,-0.08320645205386004,0,1,-0.04942637446729691,0,1
11,0.03519400926456005,1,0,0.017510235098220864,1,0
12,-0.1219682184125752,0,1,-0.10452445028716739,0,1
