Site,env1,env2,env3,env4,env5,env6,env7,env8,env9,cumul_all
1,6.9,7.8999999999999995,1.4,14.732500000000039,2.9,2.2,13.8,2.5,3.0999999999999996,55.43250000000004
2,0,4.3999999999999995,15.1,7.1,0.7,0,2.9,11.497500000000002,1.2,42.8975
3,3,11.7,2.6,1.6,1.5925000000000074,1.5,1.7,9.1,1.4,34.19250000000001
4,3.0999999999999996,8.7,1.8,0.7,5.699999999999999,1.4,0.4,8.8,4.8999999999999995,35.5
5,3.2,2.3,0,4.6,2.8,0,4.687500000000022,5.1,1.4,24.08750000000002
6,0.1,2.5,5.499999999999983,2.3999999999999995,0,0,0.3,2.4,1.1,14.299999999999983
7,0.8999999999999999,1.3,6.999999999999999,4,0,0,1.5,0.8975000000000023,0.3,15.8975
8,5.7,15.5,2.0999999999999996,7.1,3.9000000000000004,5.7,6.7,7.199999999999999,2.5999999999999996,56.5
9,1.2,12.595000000000017,0.8,3.7,2.9,3.417499999999984,2.2,13.2,1.5,41.5125
10,0.5,6.9,12.899999999999999,4.1,4.3,2,3.7,4.6,2.9125000000000343,41.91250000000003
11,15.1,8.2,12.6,13.1,11.8,6.3999999999999995,10.6,17.1,11.490000000000032,106.39000000000003
12,1.8,26.57500000000001,9.1,1.8,1.1,0.3,1.8,19.8,0,62.27500000000001
