Site,Latitude,Longitude,Elevation,Region_demo,RegionRank,lambda.slope,lambda.mean,offset_1215,offset_climate,offset_SSP245,offset_SSP585,Site_Name,Paper_ID,Demo_ID,Region,cumul_slope
RockCreek,43.37876,-122.9521,295,N2,7,-0.047347288,0.161448542,0.026460377,0.203424066,0.051966719,0.067909546,Rock Creek,11,15,North,60.410194299027715
O'NeilCreek,41.80979,-123.1189,487,N1,6,0.202840928,1.038777573,0.030831078,0.259985417,0.049448147,0.064073913,O'Neil Creek,9,16,North,33.63413968570271
DeepCreek,41.66546,-123.1134,694,N1,6,0.065179172,1.11167942,0.029069504,0.252964318,0.047729388,0.064048238,Deep Creek,8,17,North,29.80260293417063
LittleJamesonCreek,39.74298,-120.704,1592,C3,5,-0.005458889,0.919232169,0.044219293,0.285297632,0.058420729,0.075667165,Little Jameson Creek,7,18,Center,2.529472011400653
OregonCreek,39.39704,-121.082,448,C3,5,-0.086514016,1.037204477,0.036226202,0.260364562,0.055018492,0.071338266,Oregon Creek,6,29,Center,15.552678697665987
Wawona,37.53822,-119.6514,1208,C2,4,0.06812366,0.994696439,0.034675743,0.260899305,0.052663743,0.069689341,Wawona,5,32,Center,22.433176639636535
RedwoodCreek,36.68952,-118.9096,1677,C1,3,-0.079987134,0.631941822,0.046279754,0.348929405,0.054101296,0.071453594,Redwoods,4,8,Center,16.262502763981715
NorthForkMiddleForkTule,36.20081,-118.6509,1284,C1,3,-0.023476257,0.887480833,0.047835559,0.355831116,0.052585773,0.069934838,NFMF Tule,3,10,Center,66.91128946271611
WestForkMojaveRiver,34.28425,-117.3754,1087,S2,2,0.023947076,NA,0.032138031,0.262021959,0.043265879,0.059602223,West Fork Mojave River,2,7,South,51.53696851609624
SweetwaterRiver,32.89913,-116.5865,1386,S1,1,-0.039960332,0.515415638,0.022627449,0.199473441,0.041976642,0.056999978,Sweetwater,1,2,South,52.62195177401182
