Site_Name,Lat,Long,Paper_ID,Baseline/Timesieries,offset_1215,offset_climate,offset_SSP245,offset_SSP585
Sweetwater,32.89928,-116.5849,1,Timeseries,0.022340402007102966,0.1940421462059021,0.04251624271273613,0.057160716503858566
West Fork Mojave River,34.28425,-117.37539,2,Timeseries,0.03213803097605705,0.2620219588279724,0.04326587915420532,0.059602223336696625
NFMF Tule,36.20081,-118.65092,3,Timeseries,0.04783555865287781,0.355831116437912,0.052585773169994354,0.06993483752012253
Redwoods,36.69096,-118.90961,4,Timeseries,0.04627975448966026,0.34892940521240234,0.05410129576921463,0.07145359367132187
Wawona,37.539,-119.654,5,Timeseries,0.03424319624900818,0.2582338750362396,0.05217480659484863,0.06966106593608856
Oregon Creek,39.39442,-121.08302,6,Timeseries,0.03622620180249214,0.2603645622730255,0.05501849204301834,0.07133826613426208
Little Jameson Creek,39.74298,-120.70401,7,Timeseries,0.04421929270029068,0.2852976322174072,0.058420728892087936,0.07566716521978378
Deep Creek,41.66546,-123.11341,8,Timeseries,0.029069503769278526,0.2529643177986145,0.04772938787937164,0.06404823809862137
O'Neil Creek,41.80979,-123.11887,9,Timeseries,0.030831078067421913,0.25998541712760925,0.04944814741611481,0.06407391279935837
Deer Creek,42.27411,-123.63617,10,Timeseries,0.027977976948022842,0.2182081639766693,0.04776744917035103,0.06214243173599243
Rock Creek,43.37876,-122.95207,11,Timeseries,0.026460377499461174,0.20342406630516052,0.05196671932935715,0.06790954619646072
Mill Creek,34.07808,-116.87558,12,Timeseries,0.0397358201444149,0.2755475640296936,0.04438409209251404,0.06065523996949196
