Site_Name,Lat,Long,Paper_ID,Baseline/Timesieries,offset_1215,offset_climate,offset_SSP245,offset_SSP585
Sweetwater,32.89928,-116.5849,1,Timeseries,0.02030644193291664,0.1940421462059021,0.04294310137629509,0.05943185091018677
West Fork Mojave River,34.28425,-117.37539,2,Timeseries,0.027898510918021202,0.2620219588279724,0.045288585126399994,0.06341265887022018
NFMF Tule,36.20081,-118.65092,3,Timeseries,0.0375954732298851,0.355831116437912,0.05593102425336838,0.0751883015036583
Redwoods,36.69096,-118.90961,4,Timeseries,0.03693781793117523,0.34892940521240234,0.05701874941587448,0.0764164999127388
Wawona,37.539,-119.654,5,Timeseries,0.027722064405679703,0.2582338750362396,0.053023576736450195,0.07258439809083939
Oregon Creek,39.39442,-121.08302,6,Timeseries,0.026860252022743225,0.2603645622730255,0.05761771276593208,0.07574186474084854
Little Jameson Creek,39.74298,-120.70401,7,Timeseries,0.030094120651483536,0.2852976322174072,0.05855825915932655,0.07699413597583771
Deep Creek,41.66546,-123.11341,8,Timeseries,0.02784976176917553,0.2529643177986145,0.05110134929418564,0.06921593099832535
O'Neil Creek,41.80979,-123.11887,9,Timeseries,0.028681976720690727,0.25998541712760925,0.052489448338747025,0.06917297095060349
Deer Creek,42.27411,-123.63617,10,Timeseries,0.023198356851935387,0.2182081639766693,0.05155042186379433,0.0679815262556076
Rock Creek,43.37876,-122.95207,11,Timeseries,0.0215041134506464,0.20342406630516052,0.05529581010341644,0.0739131048321724
Mill Creek,34.07808,-116.87558,12,Timeseries,0.028186488896608353,0.2755475640296936,0.04582562670111656,0.06435947120189667
