Site,Year,CE10_chr1_10420560,CE10_chr1_37340153,CE10_chr1_40641544,CE10_chr2_2890930,CE10_chr2_13563156,CE10_chr2_18318806,CE10_chr2_18511041,CE10_chr2_18534760,CE10_chr2_18539723,CE10_chr2_18541798,CE10_chr2_18542068,CE10_chr2_18582838,CE10_chr2_18584866,CE10_chr2_18588476,CE10_chr2_18631100,CE10_chr2_18632042,CE10_chr2_18632869,CE10_chr2_18687403,CE10_chr2_18695632,CE10_chr2_18734446,CE10_chr2_18738517,CE10_chr2_18741844,CE10_chr2_18960949,CE10_chr2_18961314,CE10_chr2_18963389,CE10_chr2_18963507,CE10_chr2_18963606,CE10_chr2_18965007,CE10_chr2_41091592,CE10_chr3_13096437,CE10_chr3_28931309,CE10_chr3_43102264,CE10_chr3_45146794,CE10_chr3_49434709,CE10_chr3_49436387,CE10_chr4_43732031,CE10_chr4_45367078,CE10_chr5_3851138,CE10_chr5_6592466,CE10_chr5_41394643,CE10_chr5_42944506,CE10_chr6_8042005,CE10_chr6_10140458,CE10_chr6_10145222,CE10_chr6_52682981,CE10_chr6_52686214,CE10_chr6_52686491,CE10_chr6_52686524,CE10_chr6_52686709,CE10_chr6_52687031,CE10_chr6_52687062,CE10_chr6_52687204,CE10_chr6_52689350,CE10_chr6_56409031,CE10_chr6_56504004,CE10_chr6_56504967,CE10_chr6_56505268,CE10_chr6_56505735,CE10_chr6_56505767,CE10_chr6_56507770,CE10_chr6_56508033,CE10_chr6_56508360,CE10_chr6_56508405,CE10_chr6_56508510,CE10_chr6_56508903,CE10_chr6_56509130,CE10_chr6_60718601,CE10_chr7_10591619,CE10_chr7_23731913,CE10_chr7_30318081,CE10_chr7_30318160,CE10_chr7_30907068,CE10_chr7_30912263,CE10_chr7_33956812,CE10_chr7_40848773,CE10_chr8_1037756,CE10_chr8_4027355,CE10_chr8_4030884,CE10_chr8_6815151,CE10_chr8_11198607,CE10_chr8_47308615,CE10_chr8_47309276
10,2011,12,12,20,0,20,15,17,16,4,17,1,16,15,15,16,15,15,14,0,13,14,7,15,11,11,15,14,9,6,11,18,0,0,12,11,18,20,0,1,6,6,0,9,9,12,19,19,19,20,19,19,19,19,3,5,7,0,9,6,6,6,6,7,5,7,3,1,11,6,2,1,1,2,4,0,0,13,11,12,4,3,16
10,2012,18,10,8,0,18,6,6,7,16,6,14,7,3,6,6,5,3,1,0,2,1,18,2,2,2,2,2,16,6,10,20,0,2,14,7,20,20,2,0,4,9,0,3,14,13,14,15,13,13,17,17,15,13,5,4,8,0,7,7,8,5,8,9,9,5,8,0,15,12,4,5,1,2,5,0,0,7,5,9,5,3,16
10,2014,11,13,4,0,16,8,8,7,7,5,7,7,8,7,9,9,11,5,0,5,5,11,2,2,5,5,5,11,9,9,16,0,0,10,10,16,16,0,3,5,8,0,0,4,15,16,15,14,15,15,15,15,14,6,3,2,0,2,2,4,2,1,1,3,2,2,0,9,6,1,1,2,1,3,0,0,13,13,11,2,1,15
10,2015,10,8,6,0,18,3,7,6,12,6,15,4,6,5,9,4,4,4,0,3,2,16,2,3,3,3,1,16,1,13,18,0,1,6,14,16,18,0,1,5,7,0,4,7,13,14,13,10,16,13,14,13,10,4,7,6,0,4,6,4,5,4,4,4,6,4,0,13,3,2,2,0,1,4,0,1,10,13,10,2,4,13
10,2016,12,5,8,0,16,9,12,9,8,11,8,9,9,12,9,10,9,8,0,10,5,9,7,6,8,6,9,9,5,8,18,0,1,12,6,17,15,0,1,6,10,0,3,7,11,12,12,8,12,12,13,10,10,2,7,6,0,8,8,7,8,8,7,6,6,7,0,8,14,1,0,1,2,1,0,1,9,10,5,4,8,11
11,2010,20,5,8,0,20,7,6,7,13,6,12,3,7,5,7,4,6,11,0,9,5,13,5,6,7,8,7,11,4,2,16,2,1,11,6,16,19,0,0,7,3,0,5,0,11,10,10,10,11,10,10,10,10,0,4,3,0,3,3,3,3,2,1,4,3,2,0,6,18,4,3,4,2,0,0,0,4,4,7,1,6,16
11,2012,4,4,0,0,4,3,3,3,1,3,1,2,3,3,3,3,3,3,0,3,3,1,3,3,2,2,3,1,0,0,4,0,0,3,0,4,4,0,0,2,0,0,0,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,3,2,3,0,0,0,1,1,0,0,0,4
11,2014,7,2,6,0,4,3,2,1,7,2,9,1,3,0,1,1,4,5,0,3,1,9,3,3,3,3,1,8,6,0,10,6,0,6,5,6,10,0,0,4,3,2,5,2,7,8,7,6,8,7,7,6,4,0,3,1,0,1,1,3,1,3,1,3,2,0,4,4,10,5,3,7,3,0,0,1,4,7,3,0,4,8
11,2015,20,14,10,0,16,3,2,2,19,1,18,1,0,3,2,1,1,2,0,3,1,18,2,2,2,2,1,19,2,2,16,2,2,15,4,20,20,0,0,7,5,0,2,0,19,17,18,17,17,19,19,17,17,0,4,2,0,4,5,4,4,2,2,3,3,3,2,2,18,4,4,4,4,0,0,0,8,10,5,2,2,20
11,2016,20,15,8,0,18,5,5,5,14,4,17,2,5,4,5,5,4,3,0,4,4,16,3,5,5,6,5,15,2,2,19,0,0,15,6,20,20,0,0,8,2,0,2,0,18,17,18,18,17,17,17,18,18,0,4,6,0,3,4,4,5,5,5,3,4,4,5,5,18,0,0,0,0,2,0,0,6,6,3,2,2,18
